implementing_agency,change_period,shift_t,mix_js,change_score,n_periods,works_before,works_after,rs_before,rs_after,change_description
BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),2025Q1,2.1265360792427184,0.833836722945817,0.2595052076666718,8,167,116,63236875.5,56008825.0,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.83); 56 works/quarter -> 23 works/quarter; 65% round-number amounts -> 52% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
JALORE(DISTRICT COLLECTOR JALORE_IDA),2025Q2,2.7929991785597417,0.1956358325318729,0.2554609242154667,6,58,53,41114897.0,29140444.0,JALORE(DISTRICT COLLECTOR JALORE_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.20); 29 works/quarter -> 13 works/quarter; 13% round-number amounts -> 38% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),2024Q4,3.0878989998716095,0.17230921517940936,0.2520444149695584,7,234,129,87104786.0,42120206.0,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.17); 117 works/quarter -> 26 works/quarter; 0% round-number amounts -> 39% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),2025Q4,2.339377731122351,0.30200534567444937,0.2512722728476837,9,181,23,140420344.0,13794894.0,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.30); 26 works/quarter -> 12 works/quarter; 20% round-number amounts -> 36% round-number amounts; 6% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MANDI(DEPUTY COMMISSIONER MANDI_IDA),2025Q3,2.7403404624834504,0.1944773681931242,0.2479286801096605,9,414,189,70818858.0,46110410.0,MANDI(DEPUTY COMMISSIONER MANDI_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.19); 80% round-number amounts -> 97% round-number amounts; 0% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),2024Q1,2.841439545087104,0.18984456171809938,0.24716383904018327,9,64,75,41882214.0,49733573.0,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.19); 32 works/quarter -> 11 works/quarter; 57% round-number amounts -> 78% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
ERODE(DISTRICT_COLLECTORE_ERODE_IDA),2024Q3,2.964548639868421,0.17727661255483868,0.2466290592309488,9,136,184,154731998.0,142938079.0,ERODE(DISTRICT_COLLECTORE_ERODE_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.18); 68 works/quarter -> 26 works/quarter; 46% round-number amounts -> 62% round-number amounts; 3% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA),2025Q2,3.0775058346948816,0.1714720978381934,0.24506854908372067,7,114,37,44242957.379999995,24191821.0,KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.17); 28 works/quarter -> 12 works/quarter; 10% round-number amounts -> 31% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),2025Q1,3.370201541965662,0.15397316786805987,0.2440294708699366,7,170,102,142884286.0,120348236.0,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.15); 85 works/quarter -> 20 works/quarter; 10% round-number amounts -> 87% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),2024Q1,2.1913486549636563,0.38160080530086177,0.24237001434179276,7,84,179,80119362.0,141441906.0,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.38); 0% round-number amounts -> 21% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BARWANI(DISTRICT COLLECTOR BADWANI_IDA),2024Q4,2.41351192299876,0.26664631989740306,0.24171128707824216,10,242,292,124827047.0,108241237.0,BARWANI(DISTRICT COLLECTOR BADWANI_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.27); 60 works/quarter -> 49 works/quarter; 57% round-number amounts -> 37% round-number amounts; 17% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),2024Q1,2.711108687705274,0.19390181805277817,0.2403262291731209,8,23,147,87967804.92,235964462.25,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.19); 12 works/quarter -> 24 works/quarter; 0% round-number amounts -> 9% round-number amounts; 0% repeated descriptions -> 12% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHURU(DISTRICT COLLECTOR CHURU_IDA),2025Q1,3.5417120040279677,0.15014736443925786,0.23905822741946944,7,125,98,71685033.0,90266453.0,CHURU(DISTRICT COLLECTOR CHURU_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.15); 62 works/quarter -> 20 works/quarter; 42% round-number amounts -> 23% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),2025Q4,2.3716900544600117,0.27709209731793627,0.23828582401933066,9,256,76,267285126.0,38253951.0,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.28); 26% round-number amounts -> 51% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
GANJAM(DISTRICT COLLECTOR GANJAM_IDA),2025Q1,3.8099887027861135,0.1434765619965964,0.2354249441684859,7,421,209,131984744.0,71200000.0,GANJAM(DISTRICT COLLECTOR GANJAM_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.14); 140 works/quarter -> 52 works/quarter; 6% repeated descriptions -> 24% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
VADODARA(DISTRICT COLLECTOR VADODARA_IDA),2025Q4,2.3700807666334818,0.27601938944071347,0.2351284657547088,9,307,146,151226694.0,54611341.0,VADODARA(DISTRICT COLLECTOR VADODARA_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.28); 44 works/quarter -> 73 works/quarter; 59% round-number amounts -> 86% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),2024Q4,3.353038833126602,0.151686513240337,0.23222869292214202,6,292,133,82962726.0,54813581.0,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.15); 146 works/quarter -> 33 works/quarter; 2% round-number amounts -> 50% round-number amounts; 0% repeated descriptions -> 15% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Gaurela Pendra Marwahi(Collector GPM_IDA),2024Q1,2.1165197171091057,0.501559535777022,0.23067876219221095,7,19,78,5972656.23,25867921.0,Gaurela Pendra Marwahi(Collector GPM_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.50); 10 works/quarter -> 16 works/quarter; 52% round-number amounts -> 76% round-number amounts; 35% repeated descriptions -> 22% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),2024Q3,3.0283988428141195,0.16362696121791107,0.23059234946687426,10,272,217,49075059.0,44500279.0,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.16); 91 works/quarter -> 31 works/quarter; 90% round-number amounts -> 76% round-number amounts; 0% repeated descriptions -> 11% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),2024Q4,2.577213056906428,0.21293870227976197,0.22963966338592295,7,189,225,69284813.0,95730206.0,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.21); 94 works/quarter -> 45 works/quarter; 78% round-number amounts -> 96% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),2025Q3,3.1265938530443145,0.15802803063301762,0.22937915319044874,7,135,27,217391367.61,47889597.0,NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.16); 34 works/quarter -> 9 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),2025Q2,4.129572898811752,0.1402693769100214,0.2285958413302162,10,670,271,540579883.0,264440846.0,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.14); 112 works/quarter -> 68 works/quarter; 36% round-number amounts -> 91% round-number amounts; 21% repeated descriptions -> 7% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BASTI(DISTRICT MAGISTRATE BASTI_IDA),2025Q2,2.1416933004183822,0.38516989421084896,0.2222748086518679,6,32,123,48307618.0,106798882.0,BASTI(DISTRICT MAGISTRATE BASTI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.39); 16 works/quarter -> 31 works/quarter; median Rs.10^6.24 -> median Rs.10^5.24; 10% round-number amounts -> 4% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
NORTH(COMMISSIONER MCD NORTH_IDA),2025Q2,2.4319586673883555,0.24172415954477192,0.2203386192723762,7,190,21,152850308.0,22649584.63,NORTH(COMMISSIONER MCD NORTH_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.24); 38 works/quarter -> 10 works/quarter; 0% round-number amounts -> 5% round-number amounts; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025Q1,2.854998765871773,0.17326549811431546,0.22011237563609018,9,190,215,103335811.8,101337490.0,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.17); 38 works/quarter -> 54 works/quarter; 58% round-number amounts -> 73% round-number amounts; 13% repeated descriptions -> 38% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),2025Q1,3.181492350110818,0.15340961983062062,0.2197839086872766,8,142,266,129480091.34,165200517.0,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.15); 37% round-number amounts -> 61% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),2025Q4,2.1997009242722614,0.3165769529385165,0.21856770830167227,8,300,32,109746406.0,10950000.0,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.32); 50 works/quarter -> 16 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),2025Q2,2.0704708011020543,0.5251131793359363,0.21833962965424078,7,49,68,94130000.0,72419000.0,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.53); 27% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA),2025Q4,2.063454365339812,0.5995750025696223,0.21760817155274892,7,182,41,74861162.0,33883100.0,JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.60); 36 works/quarter -> 20 works/quarter; 20% round-number amounts -> 0% round-number amounts; 32% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),2025Q2,3.0935577600530872,0.15420391331098401,0.2172415189392221,10,326,118,292717327.34000003,116333713.0,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.15); 54 works/quarter -> 30 works/quarter; 30% round-number amounts -> 59% round-number amounts; 3% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA),2024Q4,2.7805635702960405,0.1745037775339291,0.21636822885808274,7,175,177,110060586.0,159105235.0,CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.17); 88 works/quarter -> 35 works/quarter; 33% round-number amounts -> 49% round-number amounts; 4% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),2025Q1,2.944604922536387,0.1617424192140578,0.21507481197224831,7,280,289,93644721.0,161065957.0,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.16); 140 works/quarter -> 58 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),2025Q3,2.209482878047361,0.2989196897981531,0.213096589015404,7,62,33,89446343.0,33829760.0,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.30); 12 works/quarter -> 16 works/quarter; 4% round-number amounts -> 44% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),2024Q1,2.4320993592060796,0.2333309222490329,0.212511254203784,9,50,199,194087794.0,521306031.0,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.23); 43% round-number amounts -> 51% round-number amounts; 48% repeated descriptions -> 5% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA),2025Q2,2.1478054680776997,0.3465954865435451,0.21222972007151272,6,87,53,183406377.95,128262500.0,FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.35); 22 works/quarter -> 26 works/quarter; 8% round-number amounts -> 23% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),2025Q1,2.13980958187387,0.3601076583321965,0.20920311631892824,6,79,97,24944998.0,30780507.0,KODERMA(DEPUTY COMMISSIONER KODARMA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.36); 26 works/quarter -> 32 works/quarter; 67% round-number amounts -> 78% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
TINSUKIA(DC Tinsukia),2024Q1,2.3649324862721275,0.24768268674785518,0.20603537070025582,6,56,79,29598429.0,67542773.0,TINSUKIA(DC Tinsukia): behaviour shifts at 2024Q1 (archetype-mix JS 0.25); 28 works/quarter -> 20 works/quarter; 85% round-number amounts -> 98% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),2024Q1,2.315969928800103,0.26002204880213753,0.20572075727667785,6,57,80,67531156.0,76100388.0,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.26); 28 works/quarter -> 20 works/quarter; 13% round-number amounts -> 18% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),2025Q4,2.3645655800988967,0.2479447784286011,0.2054299172293489,7,292,123,126511373.0,98450000.0,SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.25); 68% round-number amounts -> 83% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),2024Q3,3.6562344630471535,0.13376589730126037,0.20174669739729145,9,240,319,88163546.0,149464588.0,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.13); 120 works/quarter -> 46 works/quarter; 40% round-number amounts -> 74% round-number amounts; 25% repeated descriptions -> 18% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
HAZARIBAGH(DEPUTY COMMISSIONER HAZARIBAGH_IDA),2025Q2,2.4739099617301776,0.20698344658617907,0.20089285714285715,6,127,102,72447140.0,49050000.0,HAZARIBAGH(DEPUTY COMMISSIONER HAZARIBAGH_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.21); 42 works/quarter -> 34 works/quarter; 0% repeated descriptions -> 10% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),2025Q2,2.0640344811075275,0.4299431767486758,0.19713751933767515,10,252,91,192691865.0,98478565.0,MEERUT(DISTRICT MAGISTRATE MEERUT_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.43); 42 works/quarter -> 23 works/quarter; 20% round-number amounts -> 45% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA),2025Q3,2.531269183174873,0.19084132001717563,0.19622554442710635,7,116,61,142818446.0,53702246.0,SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.19); 29 works/quarter -> 20 works/quarter; 28% round-number amounts -> 55% round-number amounts; 3% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MOGA(Deputy Commissioner Moga),2024Q1,2.5838938669063873,0.1786571378473169,0.19288349274357094,8,136,155,42183564.0,52092293.0,MOGA(Deputy Commissioner Moga): behaviour shifts at 2024Q1 (archetype-mix JS 0.18); 68 works/quarter -> 26 works/quarter; 64% round-number amounts -> 93% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),2025Q1,3.1358753890658164,0.14473969813422577,0.1926379375927805,10,189,160,238549925.0,585838085.0,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.14); 38 works/quarter -> 32 works/quarter; 43% round-number amounts -> 67% round-number amounts; 0% repeated descriptions -> 7% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2025Q2,2.0190980161998944,0.4410113707222298,0.19059676940507952,7,194,51,97985805.0,37971900.0,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.44); 39 works/quarter -> 26 works/quarter; 7% round-number amounts -> 32% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),2024Q1,2.179094674607319,0.28876590723128,0.19028281432126343,7,45,447,45611786.0,205678240.0,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.29); 22 works/quarter -> 89 works/quarter; 0% round-number amounts -> 39% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),2025Q3,2.1434747082293453,0.3003658842784087,0.18866559472424502,8,208,200,80919410.0,67104510.85,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.30); 35 works/quarter -> 100 works/quarter; 4% round-number amounts -> 0% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),2025Q4,2.138158071930669,0.3138116466005777,0.18722077423077663,9,414,37,165713030.51999998,50779632.0,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.31); 59 works/quarter -> 18 works/quarter; 43% round-number amounts -> 55% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA),2025Q3,2.1330464198773305,0.3379987530860289,0.18643404480197412,6,115,34,265536760.0,37350225.0,SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.34); 29 works/quarter -> 17 works/quarter; 43% round-number amounts -> 0% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SOLAN(DEPUTY COMMISSIONER SOLAN_IDA),2024Q4,2.076981746206409,0.3750127748783233,0.18557687223952254,7,115,97,23639000.0,26930900.0,SOLAN(DEPUTY COMMISSIONER SOLAN_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.38); 58 works/quarter -> 19 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),2024Q4,2.107919450330138,0.35413180377417275,0.18544258112110373,9,203,133,115259589.0,111708779.0,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.35); 68 works/quarter -> 22 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
MARIGAON(District Development Commissioner Morigaon),2024Q4,2.7141061850596206,0.16069560012126716,0.18468874636997862,7,62,99,19449747.0,44500000.0,MARIGAON(District Development Commissioner Morigaon): behaviour shifts at 2024Q4 (archetype-mix JS 0.16); 31 works/quarter -> 20 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),2023Q4,1.9834649705354708,0.49925278115417426,0.18332131463774257,11,150,1185,92349011.0,750791478.0,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA): behaviour shifts at 2023Q4 (archetype-mix JS 0.50); 75 works/quarter -> 132 works/quarter; 12% round-number amounts -> 3% round-number amounts; 33% repeated descriptions -> 11% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),2024Q4,2.2295302553077807,0.2544690325650696,0.18244951863320932,10,203,331,102971277.0,182694643.0,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.25); 6% round-number amounts -> 10% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PUNE(DISTRICT COLLECTOR PUNE_IDA),2024Q1,4.580452723447752,0.11931095248335266,0.18236757408893073,14,140,553,102864091.0,518917823.0,PUNE(DISTRICT COLLECTOR PUNE_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.12); 23 works/quarter -> 69 works/quarter; 41% round-number amounts -> 86% round-number amounts; 0% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),2025Q1,3.449124990598886,0.12667052800731024,0.18176551862978607,8,227,289,59081468.92,73559934.0,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.13); 76 works/quarter -> 58 works/quarter; 3% repeated descriptions -> 26% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA),2024Q4,2.5084237488183336,0.1849144312085123,0.17747992305253768,7,31,401,44833000.0,69602457.0,BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.18); 16 works/quarter -> 80 works/quarter; 6% round-number amounts -> 16% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KHEDA(DISTRICT COLLECTOR KHEDA_IDA),2024Q3,3.5332220161425867,0.12244364088282463,0.17679078726487615,10,612,472,110001602.0,111965679.0,KHEDA(DISTRICT COLLECTOR KHEDA_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.12); 204 works/quarter -> 67 works/quarter; 42% round-number amounts -> 54% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),2024Q4,2.4615943540309604,0.18863594145785895,0.17404989901444579,9,268,292,88022552.0,128651031.0,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.19); 89 works/quarter -> 49 works/quarter; 31% round-number amounts -> 71% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KENDUJHAR(DISTRICT COLLECTOR KEONJHAR_IDA),2025Q4,2.0139336555873606,0.3915865905449678,0.17361996859491122,6,336,98,125597317.0,44800000.0,KENDUJHAR(DISTRICT COLLECTOR KEONJHAR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.39); 84 works/quarter -> 49 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),2024Q4,2.166839903141236,0.2692770594372747,0.1721067546982253,11,458,350,120755313.0,117856893.0,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.27); 92 works/quarter -> 58 works/quarter; 50% round-number amounts -> 36% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
DHAR(DISTRICT COLLECTOR DHAR_IDA),2025Q3,2.222818206595966,0.24687095425364042,0.17145414615778143,9,618,53,160245072.0,27237991.0,DHAR(DISTRICT COLLECTOR DHAR_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.25); 103 works/quarter -> 18 works/quarter; 26% round-number amounts -> 70% round-number amounts; 35% repeated descriptions -> 27% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BANDA(DISTRICT MAGISTRATE BANDA_IDA),2025Q1,1.946771597983283,0.4495751022457045,0.17046324189318557,7,175,125,77488900.66,34473705.0,BANDA(DISTRICT MAGISTRATE BANDA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.45); 29% round-number amounts -> 10% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
